service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
19N-H50N000S-87-S,1,1,1,1,1,0,0,20191028,20200103
19N-H50N000S-87-SV,0,0,0,0,1,0,0,20191028,20200103
19N-H54N000S-02-S,1,1,1,1,1,0,0,20191028,20200103
19N-H56N000S-80-S,1,1,1,1,1,0,0,20191028,20200103
19N-H56N000S-80-SV,0,0,0,0,1,0,0,20191028,20200103
19N-H57N000S-02-S,1,1,1,1,1,0,0,20191028,20200103
19N-H58N000S-80-S,1,1,1,1,1,0,0,20191028,20200103
19N-H58N000S-80-SLMM,1,1,1,0,0,0,0,20191028,20200103
19N-H58N000S-80-SV,0,0,0,0,1,0,0,20191028,20200103
19N-H59N000S-00-S,1,1,1,1,1,0,0,20191028,20200103
19N-H59N000S-00-SV,0,0,0,0,1,0,0,20191028,20200103
19N-H60N000S-01-S,1,1,1,1,1,0,0,20191028,20200103
19N-H60N000S-01-SV,0,0,0,0,1,0,0,20191028,20200103
19N-H62N000S-00-S,1,1,1,1,1,0,0,20191028,20200103
19N-H62N000S-00-S260,1,0,1,1,0,0,0,20191028,20200103
19N-H62N000S-00-SLMJ,1,1,0,1,0,0,0,20191028,20200103
19N-H62N000S-00-SLMV,1,0,1,0,1,0,0,20191028,20200103
19N-H62N000S-00-SMJ,0,1,0,1,0,0,0,20191028,20200103
19N-H62N000S-00-SMMJ,0,1,1,1,0,0,0,20191028,20200103
19N-H62N000S-00-SMV,0,0,1,0,1,0,0,20191028,20200103
19N-GLOBAUX-01-S,1,1,1,1,1,0,0,20191028,20200103
19N-H50N000A-87-A,0,0,0,0,0,1,0,20191102,20200104
19N-H54N000A-01-A,0,0,0,0,0,1,0,20191102,20200104
19N-H56N000A-00-A,0,0,0,0,0,1,0,20191102,20200104
19N-H57N000A-02-A,0,0,0,0,0,1,0,20191102,20200104
19N-H58N000A-80-A,0,0,0,0,0,1,0,20191102,20200104
19N-H59N000A-00-A,0,0,0,0,0,1,0,20191102,20200104
19N-H60N000A-01-A,0,0,0,0,0,1,0,20191102,20200104
19N-H62N000A-00-A,0,0,0,0,0,1,0,20191102,20200104
19N-GLOBAUX-01-A,0,0,0,0,0,1,0,20191102,20200104
19N-H50N000I-87-I,0,0,0,0,0,0,1,20191103,20200105
19N-H54N000I-01-I,0,0,0,0,0,0,1,20191103,20200105
19N-H56N000I-00-I,0,0,0,0,0,0,1,20191103,20200105
19N-H57N000I-02-I,0,0,0,0,0,0,1,20191103,20200105
19N-H58N000I-80-I,0,0,0,0,0,0,1,20191103,20200105
19N-H59N000I-00-I,0,0,0,0,0,0,1,20191103,20200105
19N-H60N000I-01-I,0,0,0,0,0,0,1,20191103,20200105
19N-H62N000I-00-I,0,0,0,0,0,0,1,20191103,20200105
19N-GLOBAUX-00-I,0,0,0,0,0,0,1,20191103,20200105
19N-H50N100F-87-F1,0,0,1,0,0,0,0,20191225,20191225
19N-H54N100F-01-F1,0,0,1,0,0,0,0,20191225,20191225
19N-H56N100F-00-F1,0,0,1,0,0,0,0,20191225,20191225
19N-H57N100F-01-F1,0,0,1,0,0,0,0,20191225,20191225
19N-H58N100F-02-F1,0,0,1,0,0,0,0,20191225,20191225
19N-H59N100F-00-F1,0,0,1,0,0,0,0,20191225,20191225
19N-H60N100F-02-F1,0,0,1,0,0,0,0,20191225,20191225
19N-H62N100F-00-F1,0,0,1,0,0,0,0,20191225,20191225
19N-GLOBAUX-00-F1,0,0,1,0,0,0,0,20191225,20191225
19N-H50N200F-87-F2,0,0,0,1,0,0,0,20191226,20191226
19N-H54N200F-02-F2,0,0,0,1,0,0,0,20191226,20191226
19N-H56N200F-00-F2,0,0,0,1,0,0,0,20191226,20191226
19N-H57N200F-01-F2,0,0,0,1,0,0,0,20191226,20191226
19N-H58N200F-03-F2,0,0,0,1,0,0,0,20191226,20191226
19N-H59N200F-00-F2,0,0,0,1,0,0,0,20191226,20191226
19N-H60N200F-02-F2,0,0,0,1,0,0,0,20191226,20191226
19N-H62N200F-00-F2,0,0,0,1,0,0,0,20191226,20191226
19N-GLOBAUX-00-F2,0,0,0,1,0,0,0,20191226,20191226
19N-H50N300F-87-F3,0,0,1,0,0,0,0,20200101,20200101
19N-H54N300F-01-F3,0,0,1,0,0,0,0,20200101,20200101
19N-H56N300F-00-F3,0,0,1,0,0,0,0,20200101,20200101
19N-H57N300F-01-F3,0,0,1,0,0,0,0,20200101,20200101
19N-H58N300F-03-F3,0,0,1,0,0,0,0,20200101,20200101
